time,today,yesterday,same_day_last_week,avg_last_week,avg_last_month
00h,45,15,9,5.78,17.81
01h,41,49,38,27.67,29.97
02h,11,27,11,26.24,22.7
03h,26,45,9,0.21,8.69
04h,50,45,27,7.82,3.38
05h,29,48,36,15.22,29.41
06h,37,21,26,8.86,22.44
07h,11,30,40,14.89,26.58
08h,49,8,46,28.45,17.75
09h,22,31,14,6.63,17.92
10h,5,39,4,18.6,13.39
11h,37,11,26,15.53,19.78
12h,34,8,3,18.74,20.35
13h,35,45,20,26.11,7.59
14h,40,11,14,6.74,16.14
15h,34,50,0,17.08,29.32
16h,11,32,4,23.33,21.78
17h,14,19,50,29.27,9.93
18h,6,23,37,20.34,25.14
19h,38,37,20,21.12,19.46
20h,19,2,9,2.57,7.05
21h,44,49,6,16.77,15.9
22h,41,19,38,6.74,18.7
23h,14,7,25,9.42,6.07
