time,today,yesterday,same_day_last_week,avg_last_week,avg_last_month
00h,35,31,50,16.94,24.9
01h,3,50,36,11.73,28.93
02h,46,26,35,3.58,9.32
03h,28,21,33,11.51,1.09
04h,3,37,34,24.3,1.58
05h,23,44,25,11.06,4.22
06h,29,46,50,12.93,6.39
07h,35,49,32,13.8,4.54
08h,41,7,16,20.18,12.6
09h,21,22,17,2.89,15.13
10h,22,21,48,13.82,25.72
11h,16,39,50,6.47,18.29
12h,44,3,36,5.91,2.38
13h,23,26,44,29.78,8.67
14h,31,13,25,13.47,1.39
15h,32,35,25,22.04,11.49
16h,4,6,19,1.82,14.29
17h,40,27,1,26.49,3.45
18h,15,46,1,21.88,8.94
19h,34,16,15,8.73,17.22
20h,29,23,5,14.39,0.68
21h,48,31,45,2.81,25.31
22h,10,30,36,21.87,17.21
23h,15,41,26,16.18,20.82
