time,today,yesterday,same_day_last_week,avg_last_week,avg_last_month
00h,35,48,0,23.48,3.29
01h,35,25,50,8.44,21.19
02h,26,24,1,6.51,1.41
03h,11,46,17,16.86,23.87
04h,23,19,15,21.71,22.78
05h,50,49,35,12.97,25.93
06h,36,43,21,9.16,3.61
07h,16,15,4,23.17,14.61
08h,9,21,34,11.91,20.45
09h,30,29,21,15.7,18.36
10h,8,24,20,17.32,6.86
11h,26,37,49,0.12,25.6
12h,37,34,35,5.04,8.41
13h,12,8,0,1.92,25.41
14h,34,49,16,24.25,6.36
15h,49,49,49,1.31,7.76
16h,11,20,27,16.16,14.35
17h,34,1,42,2.08,19.48
18h,2,36,35,1.95,22.96
19h,17,45,43,15.05,29.85
20h,25,20,35,17.86,23.04
21h,17,36,18,9.4,27.55
22h,33,20,24,0.9,21.15
23h,36,49,49,15.67,1.57
