time,today,yesterday,same_day_last_week,avg_last_week,avg_last_month
00h,34,46,20,29.07,24.02
01h,26,25,50,13.96,28.21
02h,10,38,31,8.57,8.41
03h,36,29,13,4.86,5.4
04h,49,15,35,13.35,12.76
05h,17,8,37,25.45,8.33
06h,0,50,11,12.78,17.67
07h,7,34,3,1.93,4.58
08h,50,34,50,10.04,18.84
09h,25,16,29,10.34,7.2
10h,49,36,10,27.47,28.9
11h,18,13,47,27.06,12.17
12h,5,38,39,22.96,8.78
13h,8,22,22,29.41,23.84
14h,36,24,27,10.92,2.28
15h,4,5,43,29.46,26.05
16h,28,16,42,4.64,17.63
17h,12,40,12,20.62,4.37
18h,38,2,3,4.46,28.23
19h,3,47,10,11.88,26.65
20h,16,41,49,12.21,11.73
21h,44,3,30,26.38,27.5
22h,20,17,14,20.64,11.52
23h,30,23,12,21.43,26.22
