time,today,yesterday,same_day_last_week,avg_last_week,avg_last_month
00h,26,14,0,23.3,0.28
01h,1,8,48,17.37,24.77
02h,20,20,21,11.36,27.89
03h,7,4,31,12.89,21.5
04h,44,38,21,1.89,11.3
05h,5,48,22,28.0,21.3
06h,6,40,24,9.78,28.43
07h,34,29,33,8.15,14.67
08h,8,34,24,12.72,28.2
09h,16,13,11,16.1,14.26
10h,29,27,47,2.07,24.95
11h,29,31,9,18.07,23.58
12h,31,40,28,14.86,11.3
13h,39,20,6,13.86,24.42
14h,48,50,32,21.65,22.57
15h,19,37,45,17.58,25.89
16h,26,23,32,13.4,15.79
17h,21,7,17,15.26,25.89
18h,17,30,13,26.22,20.69
19h,13,16,34,7.38,4.28
20h,10,42,13,24.12,12.76
21h,30,38,15,7.69,4.25
22h,40,32,9,11.71,25.43
23h,18,1,11,18.62,3.88
