time,today,yesterday,same_day_last_week,avg_last_week,avg_last_month
00h,0,28,23,9.5,22.55
01h,12,5,27,11.9,24.04
02h,23,39,26,20.94,28.49
03h,27,18,35,9.83,5.19
04h,43,22,23,27.78,1.45
05h,24,28,27,6.16,3.73
06h,29,27,33,10.43,26.57
07h,6,38,47,15.08,7.46
08h,50,8,25,16.83,26.61
09h,37,43,36,26.39,7.1
10h,12,21,34,13.49,27.64
11h,22,28,2,9.77,3.43
12h,6,1,50,21.65,2.55
13h,28,10,10,5.7,16.83
14h,41,4,23,28.77,13.85
15h,38,2,4,17.34,13.79
16h,2,4,13,24.0,10.67
17h,11,41,7,7.84,2.25
18h,13,36,0,27.63,21.59
19h,10,5,3,2.2,21.37
20h,30,42,12,1.13,8.74
21h,0,38,29,15.94,9.41
22h,1,36,44,17.99,4.41
23h,6,4,48,8.37,4.42
