time,today,yesterday,same_day_last_week,avg_last_week,avg_last_month
00h,10,40,1,11.19,21.92
01h,38,7,24,11.81,25.33
02h,10,26,0,15.07,29.1
03h,32,19,5,20.78,13.39
04h,47,40,1,19.26,27.19
05h,39,25,28,5.12,5.22
06h,2,10,11,7.34,20.01
07h,18,33,6,20.07,18.71
08h,42,2,13,19.82,0.27
09h,23,41,41,2.8,29.38
10h,36,40,37,26.78,8.34
11h,25,23,48,22.22,18.85
12h,35,2,25,28.81,17.37
13h,30,11,19,11.88,14.18
14h,22,39,22,7.39,21.04
15h,14,49,34,9.91,1.82
16h,11,50,41,24.25,0.6
17h,48,9,9,25.55,8.88
18h,31,25,17,1.5,25.85
19h,20,35,13,1.17,24.73
20h,4,4,42,3.31,27.49
21h,36,14,10,27.85,28.34
22h,18,16,45,18.1,8.61
23h,30,4,46,4.64,9.99
