time,today,yesterday,same_day_last_week,avg_last_week,avg_last_month
00h,49,4,33,1.64,29.15
01h,20,28,17,22.01,3.0
02h,27,43,34,18.55,27.6
03h,27,28,2,20.25,12.03
04h,0,5,3,3.69,15.14
05h,2,15,10,15.15,24.36
06h,16,24,0,9.52,13.6
07h,26,16,10,26.13,1.71
08h,8,31,46,18.35,6.8
09h,18,29,1,17.86,2.38
10h,23,7,30,22.03,1.72
11h,9,45,38,6.38,7.0
12h,16,21,46,19.4,17.17
13h,35,8,35,8.18,8.67
14h,3,27,40,29.26,7.01
15h,28,29,50,25.11,7.37
16h,27,16,14,15.58,14.34
17h,49,20,42,4.56,8.33
18h,18,20,29,28.53,25.29
19h,45,6,14,23.49,2.14
20h,46,24,11,22.26,6.1
21h,7,39,39,19.9,21.72
22h,42,31,4,1.17,18.7
23h,27,14,25,18.53,13.62
