time,today,yesterday,same_day_last_week,avg_last_week,avg_last_month
00h,4,19,11,13.55,15.46
01h,35,3,21,14.14,26.73
02h,4,28,47,20.09,0.49
03h,48,46,47,16.63,27.81
04h,8,49,50,4.44,12.33
05h,34,48,37,1.62,8.27
06h,30,37,46,9.52,18.47
07h,42,32,9,15.42,18.6
08h,40,14,38,24.09,21.89
09h,24,49,5,13.93,16.43
10h,0,8,18,8.02,14.68
11h,8,25,19,4.55,13.0
12h,27,44,0,23.55,11.98
13h,6,50,31,19.38,15.42
14h,25,42,27,5.37,12.2
15h,30,17,45,1.94,28.45
16h,7,17,44,24.72,21.98
17h,10,4,43,19.41,6.5
18h,15,6,44,29.12,0.21
19h,5,10,39,6.26,1.17
20h,5,15,18,13.57,0.39
21h,28,33,33,24.35,19.95
22h,5,26,23,0.9,3.41
23h,30,19,48,0.49,19.42
