time,today,yesterday,same_day_last_week,avg_last_week,avg_last_month
00h,31,32,37,20.13,9.88
01h,24,30,26,13.87,0.28
02h,14,41,5,27.88,4.48
03h,31,23,21,7.73,4.21
04h,18,50,7,28.62,2.98
05h,4,15,22,28.92,26.54
06h,2,23,44,25.17,2.02
07h,25,29,4,12.25,17.16
08h,39,4,14,8.27,4.75
09h,1,23,18,11.13,21.63
10h,10,38,16,15.84,11.34
11h,9,27,24,15.07,5.64
12h,16,32,49,9.67,27.47
13h,11,14,18,20.56,5.14
14h,47,30,33,19.77,18.66
15h,3,6,7,23.45,28.87
16h,0,23,8,24.27,6.1
17h,15,34,5,6.36,16.61
18h,21,40,35,11.03,3.32
19h,31,31,36,27.65,1.36
20h,47,47,10,28.19,23.58
21h,0,46,19,7.25,3.75
22h,5,28,16,9.59,26.26
23h,27,21,38,24.05,22.65
