time,today,yesterday,same_day_last_week,avg_last_week,avg_last_month
00h,42,27,34,28.62,21.47
01h,30,42,36,7.56,17.31
02h,5,24,48,5.62,12.62
03h,29,12,9,28.33,7.72
04h,8,26,45,18.86,17.02
05h,38,48,48,14.16,27.19
06h,28,38,47,15.86,28.26
07h,1,35,15,15.65,14.48
08h,14,9,9,5.77,18.75
09h,5,21,19,20.09,17.54
10h,20,20,7,25.5,26.55
11h,42,30,15,29.31,1.78
12h,50,28,32,19.78,3.29
13h,30,13,37,16.98,27.07
14h,49,20,4,13.12,3.68
15h,3,5,17,0.19,22.19
16h,46,10,48,27.76,0.93
17h,44,47,43,24.85,28.13
18h,48,43,26,29.29,3.16
19h,20,7,18,26.23,25.98
20h,42,39,1,2.55,10.8
21h,36,46,1,8.5,5.51
22h,0,26,25,15.48,20.54
23h,9,3,29,15.35,12.46
