time,today,yesterday,same_day_last_week,avg_last_week,avg_last_month
00h,38,11,43,0.32,25.29
01h,25,32,0,11.17,1.7
02h,20,21,26,23.26,11.21
03h,7,6,45,19.05,17.53
04h,34,21,32,16.33,5.5
05h,5,32,48,5.46,12.94
06h,14,44,43,13.32,9.87
07h,0,45,18,14.02,26.3
08h,15,8,49,28.06,11.2
09h,7,6,26,17.56,8.43
10h,36,50,38,23.42,22.37
11h,18,27,4,2.31,8.5
12h,6,27,16,3.72,22.07
13h,14,6,6,1.49,28.85
14h,12,49,15,19.1,23.83
15h,28,39,41,24.99,15.56
16h,40,37,24,1.3,14.19
17h,24,41,16,6.51,12.74
18h,21,12,28,28.56,10.55
19h,7,17,35,0.6,21.4
20h,41,17,13,11.88,18.83
21h,18,33,29,9.98,0.08
22h,47,41,39,0.72,14.5
23h,11,28,21,26.75,7.29
