time,today,yesterday,same_day_last_week,avg_last_week,avg_last_month
00h,7,42,23,5.11,6.31
01h,48,26,1,10.6,14.83
02h,17,42,45,0.73,28.51
03h,34,32,40,16.15,17.05
04h,1,0,27,8.47,11.92
05h,37,7,32,1.22,19.23
06h,48,14,30,13.12,12.78
07h,9,26,25,6.17,29.95
08h,38,34,1,6.99,11.97
09h,10,18,29,20.11,12.43
10h,48,21,29,0.05,1.76
11h,9,44,7,2.47,16.66
12h,13,16,39,20.93,8.22
13h,21,7,41,2.19,4.09
14h,24,44,22,28.9,7.81
15h,10,38,24,6.45,14.61
16h,0,35,21,1.46,28.86
17h,24,26,36,26.89,11.39
18h,43,18,14,5.88,19.1
19h,9,2,4,14.01,1.12
20h,50,15,50,29.27,24.5
21h,13,25,5,3.9,24.74
22h,21,41,32,26.73,27.06
23h,14,47,26,11.22,27.26
