time,today,yesterday,same_day_last_week,avg_last_week,avg_last_month
00h,19,12,8,26.46,0.05
01h,12,22,20,6.12,14.72
02h,6,35,14,1.04,29.33
03h,49,18,21,9.54,11.64
04h,21,37,45,9.95,27.06
05h,42,45,46,16.7,15.17
06h,13,5,26,15.76,15.89
07h,2,2,39,21.58,26.76
08h,24,50,50,5.28,17.5
09h,34,14,29,2.41,10.61
10h,49,36,38,11.83,2.39
11h,29,5,33,10.02,22.87
12h,14,46,24,2.59,9.11
13h,42,26,42,21.19,26.59
14h,49,28,43,17.26,27.56
15h,16,46,12,15.16,17.68
16h,12,32,47,12.44,18.23
17h,48,37,7,25.32,15.57
18h,0,22,34,25.4,27.92
19h,20,38,7,17.31,18.13
20h,36,46,43,5.61,19.97
21h,3,24,25,6.06,29.53
22h,2,35,11,12.97,16.79
23h,11,17,13,12.29,4.3
