time,today,yesterday,same_day_last_week,avg_last_week,avg_last_month
00h,12,4,10,15.82,9.57
01h,50,29,41,25.03,24.25
02h,35,28,30,1.6,23.69
03h,46,43,34,10.69,23.57
04h,47,12,45,22.64,2.36
05h,24,25,5,8.37,4.77
06h,34,47,25,5.55,23.73
07h,37,29,40,24.97,18.96
08h,19,5,2,27.78,28.85
09h,46,50,11,3.93,24.93
10h,3,41,37,16.33,11.99
11h,22,10,31,13.58,26.24
12h,21,33,30,8.3,7.97
13h,20,48,26,3.07,10.13
14h,45,41,29,8.66,28.27
15h,12,28,36,23.23,29.66
16h,21,37,2,28.79,13.59
17h,30,23,6,10.4,22.24
18h,46,3,16,24.88,9.32
19h,48,23,32,20.42,22.92
20h,37,5,48,18.3,19.78
21h,21,18,36,10.24,5.08
22h,34,11,27,10.31,23.12
23h,3,18,29,27.1,16.28
