time,today,yesterday,same_day_last_week,avg_last_week,avg_last_month
00h,46,7,28,12.69,19.13
01h,15,3,27,27.14,4.7
02h,22,7,26,5.14,13.14
03h,49,47,34,0.18,25.28
04h,28,47,16,21.51,8.86
05h,21,3,31,29.86,0.96
06h,36,3,12,9.06,15.96
07h,5,14,6,24.23,29.21
08h,15,19,34,3.55,9.55
09h,30,19,37,10.27,24.73
10h,13,49,8,14.41,21.71
11h,16,41,34,27.18,17.94
12h,46,26,10,11.24,12.28
13h,9,34,9,18.01,29.98
14h,50,49,6,26.57,20.45
15h,9,30,13,4.31,24.56
16h,20,50,32,29.83,10.41
17h,10,31,23,14.88,3.35
18h,17,39,40,25.79,24.74
19h,25,10,31,10.1,1.77
20h,45,17,47,25.81,15.36
21h,18,14,41,19.13,16.05
22h,14,12,19,7.56,10.62
23h,25,44,16,1.24,20.98
