time,today,yesterday,same_day_last_week,avg_last_week,avg_last_month
00h,9,16,23,0.85,11.17
01h,25,45,33,28.68,10.0
02h,11,21,6,8.89,5.74
03h,41,16,36,0.78,27.22
04h,16,6,36,8.07,12.89
05h,39,12,46,0.31,21.81
06h,31,29,49,1.96,8.48
07h,46,39,47,24.8,15.45
08h,46,7,30,29.11,22.06
09h,34,1,38,19.05,25.26
10h,13,18,2,3.81,9.76
11h,39,30,2,8.74,4.54
12h,24,17,13,13.09,29.18
13h,43,0,8,11.5,27.16
14h,8,3,33,7.85,24.85
15h,40,49,0,26.63,27.58
16h,26,27,50,10.54,10.02
17h,20,10,37,27.84,7.11
18h,13,34,6,15.31,14.39
19h,46,2,34,9.23,0.21
20h,47,40,17,0.78,27.51
21h,15,23,32,11.39,27.5
22h,14,24,42,9.97,0.19
23h,15,37,29,3.34,19.33
