time,today,yesterday,same_day_last_week,avg_last_week,avg_last_month
00h,26,20,18,1.09,21.62
01h,8,28,14,12.47,8.83
02h,12,3,17,2.68,21.06
03h,48,39,40,14.89,9.24
04h,37,39,25,23.06,5.01
05h,17,4,49,20.47,14.79
06h,16,45,10,18.02,13.3
07h,1,48,22,22.01,21.32
08h,11,25,12,5.37,12.5
09h,50,48,3,25.06,28.43
10h,1,13,17,14.28,7.43
11h,28,49,2,19.52,23.04
12h,46,23,50,15.07,1.05
13h,25,17,8,21.82,9.73
14h,44,0,29,26.25,25.72
15h,13,17,8,23.13,18.52
16h,0,27,7,17.6,8.58
17h,15,32,33,6.95,26.1
18h,6,4,29,12.84,14.67
19h,43,36,17,7.17,12.1
20h,50,7,30,14.51,26.61
21h,6,44,6,9.0,16.08
22h,50,1,36,25.46,0.04
23h,1,7,40,25.24,26.85
