time,today,yesterday,same_day_last_week,avg_last_week,avg_last_month
00h,29,23,37,3.09,25.04
01h,26,34,33,15.77,17.41
02h,28,12,23,18.52,11.89
03h,30,4,26,21.05,1.59
04h,24,8,23,1.28,4.09
05h,34,20,37,13.79,26.03
06h,15,32,15,10.79,29.75
07h,6,11,45,21.52,10.83
08h,46,7,45,24.87,16.86
09h,18,47,19,2.0,15.74
10h,15,49,16,22.75,27.6
11h,38,47,20,8.9,24.12
12h,22,11,29,3.53,4.86
13h,9,50,23,3.54,20.02
14h,7,34,45,4.02,14.35
15h,14,43,21,14.51,28.74
16h,45,17,17,7.76,6.45
17h,29,5,3,21.46,9.37
18h,49,48,36,15.89,3.16
19h,21,45,31,12.04,26.67
20h,22,17,18,13.29,11.08
21h,13,11,18,15.51,23.84
22h,32,20,46,29.62,3.24
23h,2,8,2,8.3,12.38
