time,today,yesterday,same_day_last_week,avg_last_week,avg_last_month
00h,42,3,26,19.61,22.67
01h,35,7,32,3.01,10.85
02h,48,13,29,5.46,25.33
03h,19,9,21,2.3,21.95
04h,2,4,43,25.59,1.93
05h,25,4,28,14.98,20.42
06h,11,42,4,22.79,1.18
07h,27,31,21,9.68,25.53
08h,13,47,47,26.7,1.15
09h,14,9,17,25.77,25.84
10h,32,21,42,25.32,8.04
11h,2,49,6,17.68,28.11
12h,5,35,25,11.09,28.73
13h,12,6,19,8.26,21.41
14h,27,17,1,14.46,25.43
15h,46,41,2,12.83,24.22
16h,31,33,5,6.1,17.11
17h,5,36,15,18.56,15.04
18h,25,31,3,27.38,6.76
19h,1,41,19,10.87,22.7
20h,4,16,12,26.16,17.0
21h,33,1,33,27.86,22.29
22h,16,2,42,18.28,3.2
23h,47,9,38,17.21,6.14
