time,today,yesterday,same_day_last_week,avg_last_week,avg_last_month
00h,10,5,22,18.36,1.81
01h,19,11,25,12.5,6.13
02h,19,48,45,27.73,28.16
03h,45,28,42,3.99,11.2
04h,15,27,47,22.79,7.24
05h,44,42,12,19.95,0.92
06h,9,25,7,18.51,21.09
07h,18,23,4,20.24,26.37
08h,1,30,13,9.78,13.29
09h,11,47,42,0.86,6.56
10h,42,46,44,7.48,11.4
11h,9,12,39,13.43,21.42
12h,37,4,45,6.57,7.18
13h,28,45,44,16.55,17.68
14h,10,31,35,5.37,7.18
15h,13,28,29,26.47,8.34
16h,25,23,6,14.03,6.24
17h,1,17,49,25.77,2.1
18h,31,0,7,20.93,16.01
19h,7,50,6,8.44,22.97
20h,20,37,40,15.01,19.9
21h,39,46,50,24.01,9.26
22h,34,1,36,4.71,18.81
23h,25,18,48,26.47,11.17
