time,today,yesterday,same_day_last_week,avg_last_week,avg_last_month
00h,19,4,26,3.29,21.31
01h,28,32,46,19.88,17.54
02h,16,2,27,1.93,29.46
03h,41,42,23,2.8,16.28
04h,11,47,30,23.09,19.31
05h,12,29,47,19.7,22.96
06h,7,14,30,23.04,29.09
07h,20,40,48,27.6,16.26
08h,47,19,50,1.83,20.35
09h,6,50,46,0.54,12.71
10h,38,5,49,28.15,25.53
11h,23,14,5,28.24,17.05
12h,37,5,41,3.47,7.57
13h,45,39,47,21.13,26.26
14h,47,48,42,7.82,25.34
15h,46,42,42,3.72,22.87
16h,31,7,38,17.32,21.81
17h,1,16,50,0.45,27.87
18h,27,46,30,4.06,4.3
19h,41,48,33,8.71,19.86
20h,50,9,22,6.82,7.37
21h,36,35,44,15.62,1.74
22h,12,3,11,3.29,26.67
23h,6,49,9,13.78,27.03
