time,today,yesterday,same_day_last_week,avg_last_week,avg_last_month
00h,12,20,40,18.02,6.74
01h,50,29,50,13.08,25.26
02h,3,34,15,4.92,18.09
03h,10,6,11,3.29,0.75
04h,6,50,2,0.43,24.18
05h,23,29,30,4.11,6.36
06h,34,33,18,3.78,7.32
07h,36,27,22,10.88,14.65
08h,6,38,38,17.27,4.19
09h,13,28,3,3.7,13.67
10h,1,44,11,25.51,24.96
11h,31,34,49,11.8,7.56
12h,45,32,26,23.78,28.22
13h,38,29,1,23.87,16.97
14h,44,21,34,11.54,22.9
15h,14,24,41,12.85,5.2
16h,47,37,4,6.92,8.96
17h,6,14,48,27.14,24.14
18h,46,25,33,4.58,10.7
19h,23,46,25,28.44,28.93
20h,5,47,18,23.12,2.66
21h,33,27,0,15.65,22.58
22h,45,18,49,0.2,7.67
23h,18,11,23,20.38,3.21
