time,today,yesterday,same_day_last_week,avg_last_week,avg_last_month
00h,36,23,6,23.53,2.34
01h,27,8,8,13.82,28.0
02h,44,37,49,2.45,26.04
03h,41,6,5,15.92,24.85
04h,17,10,20,4.37,22.0
05h,22,2,26,28.18,2.62
06h,47,35,12,20.43,23.93
07h,35,26,23,23.16,23.87
08h,18,45,31,3.92,28.86
09h,1,7,43,20.21,5.83
10h,34,3,9,29.63,11.79
11h,9,31,30,24.11,27.43
12h,40,48,14,28.2,21.6
13h,34,43,5,14.19,21.81
14h,2,0,40,14.05,10.89
15h,29,21,36,14.59,25.42
16h,29,7,11,23.93,25.85
17h,8,40,19,1.58,18.63
18h,2,7,10,13.09,25.26
19h,12,44,23,1.31,24.86
20h,30,16,46,19.58,20.85
21h,17,9,28,10.8,2.47
22h,7,40,47,2.82,3.31
23h,1,11,0,28.65,26.52
