time,today,yesterday,same_day_last_week,avg_last_week,avg_last_month
00h,39,41,13,10.08,24.64
01h,42,25,25,3.99,24.68
02h,37,49,50,9.51,29.6
03h,31,31,26,11.33,26.87
04h,32,42,8,20.42,5.68
05h,38,40,10,4.66,28.64
06h,36,21,5,3.04,18.48
07h,24,29,39,25.71,0.47
08h,7,24,16,12.05,9.63
09h,26,17,36,27.28,28.33
10h,47,3,26,24.86,17.82
11h,27,15,31,10.82,4.92
12h,22,36,11,28.69,23.11
13h,32,29,15,23.95,12.59
14h,40,25,24,27.54,20.56
15h,30,4,32,8.04,24.8
16h,14,26,50,25.37,28.26
17h,15,2,4,8.06,24.35
18h,29,36,21,9.35,29.62
19h,32,11,44,16.57,29.55
20h,36,36,3,7.1,10.15
21h,2,48,4,20.4,4.65
22h,26,19,1,15.8,18.03
23h,6,34,26,10.81,16.14
