time,today,yesterday,same_day_last_week,avg_last_week,avg_last_month
00h,41,37,24,16.77,0.05
01h,29,2,27,11.72,19.1
02h,43,25,41,17.04,8.88
03h,5,26,16,20.71,15.46
04h,5,28,32,20.09,18.47
05h,6,24,27,4.35,23.26
06h,20,0,21,12.42,8.07
07h,4,10,29,7.83,29.2
08h,46,41,11,21.79,0.49
09h,44,50,35,20.24,5.65
10h,26,13,29,24.95,4.67
11h,22,17,39,13.72,5.92
12h,13,23,0,5.18,10.15
13h,24,44,49,20.0,0.1
14h,12,10,45,9.13,1.72
15h,33,24,11,18.29,16.72
16h,50,39,12,28.78,17.66
17h,4,17,45,26.88,26.29
18h,49,4,8,23.31,7.35
19h,48,21,28,20.2,6.75
20h,1,28,1,29.64,4.92
21h,37,43,50,19.0,5.13
22h,20,23,45,18.91,22.18
23h,20,45,33,21.55,28.6
