time,today,yesterday,same_day_last_week,avg_last_week,avg_last_month
00h,45,46,29,8.9,28.91
01h,17,25,19,8.06,7.91
02h,42,32,30,16.92,20.08
03h,14,16,28,8.56,29.21
04h,28,25,0,23.52,28.44
05h,32,42,2,24.22,23.85
06h,37,14,38,16.03,10.87
07h,14,17,31,20.48,22.76
08h,35,6,15,18.38,12.52
09h,15,26,9,27.36,21.95
10h,38,21,50,25.51,23.88
11h,23,48,26,8.62,19.59
12h,11,48,26,19.38,17.58
13h,30,8,21,10.28,17.37
14h,26,8,5,11.86,28.37
15h,25,11,31,5.29,28.66
16h,37,43,38,27.0,15.62
17h,33,12,10,19.32,25.35
18h,39,50,28,27.36,1.78
19h,20,45,27,24.33,19.5
20h,22,7,3,4.09,7.65
21h,32,19,43,23.99,25.25
22h,32,31,35,6.97,22.97
23h,8,39,22,6.3,5.93
