time,today,yesterday,same_day_last_week,avg_last_week,avg_last_month
00h,33,30,13,12.34,17.93
01h,37,34,31,10.64,23.61
02h,14,38,33,20.41,19.75
03h,50,32,22,2.2,2.47
04h,0,13,25,21.28,8.5
05h,49,1,15,1.09,13.66
06h,25,28,2,8.72,12.41
07h,25,26,25,24.99,1.71
08h,45,9,13,5.24,8.7
09h,10,10,30,3.24,28.36
10h,30,11,1,27.27,10.49
11h,1,18,46,21.35,1.52
12h,35,14,38,14.63,16.21
13h,38,16,11,28.71,10.81
14h,40,36,3,24.79,14.78
15h,11,7,12,6.34,11.13
16h,34,17,21,10.47,18.49
17h,19,17,36,29.86,21.21
18h,35,40,2,13.77,18.16
19h,7,5,47,26.93,10.45
20h,35,2,30,5.14,18.57
21h,34,24,19,28.59,28.43
22h,31,38,48,6.56,0.09
23h,36,11,46,19.16,17.05
