time,today,yesterday,same_day_last_week,avg_last_week,avg_last_month
00h,17,2,10,26.79,12.31
01h,42,35,27,23.7,10.43
02h,3,44,48,23.25,1.42
03h,11,0,48,9.87,23.63
04h,23,24,38,22.64,17.2
05h,22,10,21,1.58,14.8
06h,42,21,40,7.91,23.08
07h,35,22,34,1.81,17.0
08h,41,17,9,25.55,25.09
09h,21,18,22,27.39,1.47
10h,8,40,37,11.13,23.59
11h,49,22,1,16.49,29.86
12h,3,29,20,21.72,9.8
13h,24,33,9,0.79,9.43
14h,12,15,48,17.22,10.95
15h,12,39,38,24.11,27.87
16h,22,20,20,11.32,2.12
17h,6,42,41,11.16,3.3
18h,45,16,43,14.14,24.89
19h,36,12,18,28.71,22.4
20h,0,48,50,10.7,1.43
21h,0,7,12,12.39,3.28
22h,23,35,9,19.92,11.21
23h,18,37,7,3.95,14.43
