time,today,yesterday,same_day_last_week,avg_last_week,avg_last_month
00h,35,50,24,16.03,22.23
01h,11,47,23,26.5,26.93
02h,12,29,45,22.03,21.3
03h,38,21,9,25.81,9.81
04h,12,37,4,7.73,14.45
05h,32,30,38,11.58,24.59
06h,44,19,25,19.48,1.14
07h,2,47,33,6.78,23.13
08h,47,48,5,17.22,10.97
09h,15,33,37,21.04,28.05
10h,9,30,11,18.68,2.14
11h,28,28,16,25.0,12.0
12h,44,48,17,8.1,21.39
13h,11,15,19,28.17,9.88
14h,16,32,5,4.72,21.79
15h,40,18,27,15.84,4.54
16h,36,14,20,8.12,16.65
17h,7,35,21,22.63,16.74
18h,38,33,37,20.61,25.76
19h,34,22,4,2.58,22.83
20h,7,2,35,29.2,6.55
21h,5,49,48,19.42,5.3
22h,7,7,2,14.17,28.24
23h,0,7,19,16.77,20.61
