time,today,yesterday,same_day_last_week,avg_last_week,avg_last_month
00h,34,8,28,6.7,21.36
01h,13,28,34,9.35,7.8
02h,20,24,6,0.8,8.19
03h,38,43,31,21.59,8.19
04h,18,15,47,4.82,14.49
05h,19,48,19,20.2,1.12
06h,18,43,33,26.27,4.41
07h,39,32,22,19.24,8.75
08h,31,43,50,26.2,26.07
09h,32,49,9,0.96,16.74
10h,46,46,27,23.07,11.46
11h,0,23,15,14.77,6.24
12h,4,24,7,23.79,1.01
13h,39,23,36,10.33,4.56
14h,13,20,41,17.5,26.88
15h,11,9,19,5.31,6.13
16h,14,7,32,19.0,2.11
17h,11,31,24,29.59,16.86
18h,7,25,0,7.37,11.51
19h,5,26,31,19.44,7.23
20h,24,30,13,6.86,8.51
21h,4,47,45,4.27,19.99
22h,19,32,0,22.35,7.55
23h,8,32,36,25.15,0.4
