time,today,yesterday,same_day_last_week,avg_last_week,avg_last_month
00h,42,10,31,23.93,15.5
01h,21,9,12,2.98,3.93
02h,33,48,25,4.91,22.43
03h,39,22,49,0.81,17.06
04h,17,3,15,27.5,9.9
05h,3,13,7,4.22,10.31
06h,19,11,36,13.73,27.56
07h,23,18,1,15.21,9.96
08h,15,44,31,3.38,22.08
09h,2,5,29,23.6,15.81
10h,44,35,31,13.01,12.05
11h,4,35,0,20.77,25.1
12h,18,4,6,2.82,26.2
13h,18,39,42,26.07,29.12
14h,48,28,43,23.19,17.08
15h,13,16,30,14.12,15.15
16h,43,44,24,29.19,29.47
17h,49,0,9,13.42,9.49
18h,23,49,34,8.22,3.17
19h,11,13,3,24.68,1.42
20h,23,44,14,20.95,15.47
21h,43,10,29,7.67,23.35
22h,42,37,40,6.08,9.59
23h,1,46,25,14.61,21.63
