time,today,yesterday,same_day_last_week,avg_last_week,avg_last_month
00h,48,45,43,19.73,7.14
01h,49,49,43,5.81,24.76
02h,37,37,34,25.06,1.51
03h,48,20,35,9.55,27.22
04h,44,35,33,7.59,10.06
05h,32,4,20,5.32,20.07
06h,12,1,30,24.59,26.82
07h,32,17,33,8.16,28.04
08h,3,21,1,8.09,5.55
09h,25,3,16,12.55,27.35
10h,18,1,46,6.27,7.18
11h,19,41,16,28.59,20.04
12h,39,19,43,15.44,3.35
13h,34,43,36,17.54,18.4
14h,24,13,16,20.6,16.27
15h,12,17,7,5.76,26.35
16h,15,3,44,29.72,22.28
17h,32,44,9,8.87,11.95
18h,17,45,18,28.55,21.17
19h,38,34,49,11.46,27.54
20h,16,42,41,22.32,26.38
21h,22,11,1,12.98,3.44
22h,13,22,9,14.3,22.07
23h,49,42,13,0.17,11.73
