time,today,yesterday,same_day_last_week,avg_last_week,avg_last_month
00h,13,39,27,14.42,1.73
01h,14,21,22,8.07,7.89
02h,9,43,26,23.65,2.25
03h,30,46,42,25.07,3.04
04h,46,44,22,9.58,19.0
05h,32,6,2,1.34,24.8
06h,25,3,2,26.49,12.53
07h,41,14,24,18.04,22.91
08h,44,40,5,20.63,19.33
09h,45,48,32,28.49,16.67
10h,24,2,10,23.33,10.54
11h,45,9,13,3.89,16.59
12h,32,20,46,3.88,14.91
13h,30,30,32,1.84,3.79
14h,1,12,32,12.2,15.03
15h,24,43,30,16.63,17.91
16h,8,6,9,13.31,0.17
17h,4,25,2,29.92,11.34
18h,2,44,8,9.38,22.13
19h,47,24,41,12.18,6.04
20h,26,43,3,5.2,10.37
21h,30,31,2,12.52,19.37
22h,2,33,29,11.01,13.25
23h,25,17,32,9.89,28.05
