time,today,yesterday,same_day_last_week,avg_last_week,avg_last_month
00h,3,23,43,24.43,11.19
01h,40,48,23,21.05,28.43
02h,31,45,6,22.3,21.17
03h,32,26,26,10.77,27.4
04h,19,5,48,5.97,17.97
05h,39,28,42,6.27,0.76
06h,35,1,50,20.53,22.0
07h,18,16,22,25.97,18.49
08h,34,24,13,2.07,17.72
09h,41,14,47,26.75,26.47
10h,17,8,47,15.1,22.73
11h,33,13,28,27.09,2.09
12h,25,23,20,5.44,9.81
13h,38,49,50,15.3,26.09
14h,46,9,36,26.37,20.44
15h,30,38,17,15.47,18.35
16h,31,1,23,21.17,0.69
17h,20,36,0,12.79,24.49
18h,32,32,43,11.97,23.49
19h,4,33,26,27.45,29.68
20h,44,42,41,15.7,11.68
21h,5,15,49,3.15,23.28
22h,17,25,45,19.03,28.61
23h,0,2,22,25.4,23.72
