time,today,yesterday,same_day_last_week,avg_last_week,avg_last_month
00h,36,44,34,13.09,18.16
01h,4,6,28,18.44,7.9
02h,3,8,6,9.66,21.51
03h,25,45,18,27.97,4.19
04h,35,33,17,11.61,20.97
05h,41,0,16,27.22,23.04
06h,40,8,5,8.32,18.44
07h,26,3,43,1.81,18.17
08h,39,29,49,21.54,5.45
09h,9,43,49,27.78,8.75
10h,12,16,33,26.8,15.95
11h,3,11,38,29.03,14.57
12h,44,17,44,18.68,29.03
13h,30,15,4,4.85,12.68
14h,32,43,25,9.17,17.25
15h,29,1,25,29.42,7.3
16h,4,16,16,26.01,11.82
17h,24,43,26,24.63,7.93
18h,25,37,9,16.89,25.22
19h,13,46,36,22.44,17.4
20h,36,28,34,3.47,5.36
21h,36,19,14,22.16,18.34
22h,40,15,11,7.54,19.85
23h,12,2,33,6.66,22.17
