time,today,yesterday,same_day_last_week,avg_last_week,avg_last_month
00h,37,14,9,7.84,19.11
01h,3,41,35,21.73,2.99
02h,50,34,23,14.74,16.89
03h,11,35,1,9.82,13.69
04h,10,25,40,22.12,6.43
05h,46,37,15,26.69,7.25
06h,26,5,31,21.44,9.62
07h,7,12,42,5.36,9.81
08h,9,47,9,1.65,4.27
09h,25,23,11,10.46,13.6
10h,0,40,41,22.62,4.47
11h,45,15,29,10.64,25.42
12h,20,15,21,17.2,11.65
13h,34,2,19,28.37,1.33
14h,49,40,6,28.73,14.18
15h,40,17,11,7.64,12.61
16h,5,45,3,27.43,6.11
17h,35,5,43,23.02,11.7
18h,44,15,43,9.0,0.81
19h,40,27,2,18.99,8.34
20h,4,10,31,3.46,26.44
21h,41,25,15,20.54,1.31
22h,49,47,7,8.6,9.98
23h,3,9,17,18.75,16.08
