time,today,yesterday,same_day_last_week,avg_last_week,avg_last_month
00h,47,44,17,16.66,5.41
01h,31,11,13,21.46,25.77
02h,17,28,7,24.31,4.14
03h,16,24,10,24.01,11.59
04h,36,34,2,25.31,27.42
05h,37,49,3,12.5,8.32
06h,6,21,33,0.02,25.06
07h,39,29,8,24.34,18.77
08h,18,6,20,9.73,0.47
09h,33,22,13,21.48,19.27
10h,12,43,28,20.35,17.28
11h,44,40,19,21.55,8.01
12h,30,1,42,27.32,19.92
13h,15,43,30,25.13,21.1
14h,40,18,14,19.14,21.3
15h,12,10,11,18.34,23.95
16h,45,37,16,18.52,7.9
17h,32,19,39,3.45,21.3
18h,31,15,39,0.82,18.51
19h,27,35,39,23.65,0.63
20h,27,18,10,4.87,10.96
21h,0,26,23,29.1,17.55
22h,8,3,47,21.5,2.02
23h,49,28,17,12.96,5.21
