time,today,yesterday,same_day_last_week,avg_last_week,avg_last_month
00h,21,42,22,15.8,11.7
01h,24,48,31,5.89,10.48
02h,36,36,45,9.13,22.67
03h,12,2,6,14.59,23.75
04h,4,7,11,11.26,21.57
05h,41,40,14,21.11,27.06
06h,15,0,43,2.74,23.75
07h,34,2,12,8.32,9.83
08h,25,7,35,19.97,3.04
09h,31,10,29,14.43,28.94
10h,28,24,8,8.31,8.4
11h,28,24,44,5.78,17.16
12h,33,47,10,19.76,0.04
13h,15,45,2,21.62,5.87
14h,9,31,37,18.65,20.18
15h,49,43,27,11.55,13.93
16h,33,26,25,25.33,29.27
17h,17,3,30,27.24,18.42
18h,34,34,7,12.64,28.8
19h,8,38,50,27.69,15.24
20h,11,7,30,25.35,19.58
21h,28,15,35,8.24,4.25
22h,3,5,2,22.36,29.24
23h,33,39,21,1.03,13.89
